Light,Cultivar,Genotype,Color,Sample
WhiteLED,01_RButt,rll4,Red,Ls21v1.001.genes.results
WhiteLED,01_RButt,rll4,Red,Ls21v1.002.genes.results
WhiteLED,01_RButt,rll4,Red,Ls21v1.003.genes.results
WhiteLED,02_RLeaf,rll4,Red,Ls21v1.004.genes.results
WhiteLED,02_RLeaf,rll4,Red,Ls21v1.005.genes.results
WhiteLED,02_RLeaf,rll4,Red,Ls21v1.006.genes.results
WhiteLED,03_ROak,rll4,Red,Ls21v1.007.genes.results
WhiteLED,03_ROak,rll4,Red,Ls21v1.008.genes.results
WhiteLED,03_ROak,rll4,Red,Ls21v1.009.genes.results
WhiteLED,04_RCos,rll4,Red,Ls21v1.010.genes.results
WhiteLED,04_RCos,rll4,Red,Ls21v1.011.genes.results
WhiteLED,04_RCos,rll4,Red,Ls21v1.012.genes.results
WhiteLED,05_FancR,RLL4,Red,Ls21v1.013.genes.results
WhiteLED,05_FancR,RLL4,Red,Ls21v1.014.genes.results
WhiteLED,05_FancR,RLL4,Red,Ls21v1.015.genes.results
WhiteLED,06_HandR,RLL4,Red,Ls21v1.016.genes.results
WhiteLED,06_HandR,RLL4,Red,Ls21v1.017.genes.results
WhiteLED,06_HandR,RLL4,Red,Ls21v1.018.genes.results
WhiteLED,07_RFire,RLL4,Red,Ls21v1.019.genes.results
WhiteLED,07_RFire,RLL4,Red,Ls21v1.020.genes.results
WhiteLED,07_RFire,RLL4,Red,Ls21v1.021.genes.results
WhiteLED,08_SunB,RLL4,Red,Ls21v1.022.genes.results
WhiteLED,08_SunB,RLL4,Red,Ls21v1.023.genes.results
WhiteLED,08_SunB,RLL4,Red,Ls21v1.024.genes.results
WhiteLED,09_WineD,rll4,Red,Ls21v1.025.genes.results
WhiteLED,09_WineD,rll4,Red,Ls21v1.026.genes.results
WhiteLED,09_WineD,rll4,Red,Ls21v1.027.genes.results
WhiteLED,10_GOak,RLL4,Green,Ls21v1.028.genes.results
WhiteLED,10_GOak,RLL4,Green,Ls21v1.029.genes.results
WhiteLED,10_GOak,RLL4,Green,Ls21v1.030.genes.results
WhiteLED,11_HandG,RLL4,Green,Ls21v1.031.genes.results
WhiteLED,11_HandG,RLL4,Green,Ls21v1.032.genes.results
WhiteLED,11_HandG,RLL4,Green,Ls21v1.033.genes.results
WhiteLED,12_GLeaf,RLL4,Green,Ls21v1.034.genes.results
WhiteLED,12_GLeaf,RLL4,Green,Ls21v1.035.genes.results
WhiteLED,12_GLeaf,RLL4,Green,Ls21v1.036.genes.results
WhiteLED,13_GButt,RLL4,Green,Ls21v1.037.genes.results
WhiteLED,13_GButt,RLL4,Green,Ls21v1.038.genes.results
WhiteLED,13_GButt,RLL4,Green,Ls21v1.039.genes.results
WhiteLED,14_FrIce,RLL4,Green,Ls21v1.040.genes.results
WhiteLED,14_FrIce,RLL4,Green,Ls21v1.041.genes.results
WhiteLED,14_FrIce,RLL4,Green,Ls21v1.042.genes.results
FL,01_RButt,rll4,Red,Ls21v1.043.genes.results
FL,01_RButt,rll4,Red,Ls21v1.044.genes.results
FL,01_RButt,rll4,Red,Ls21v1.045.genes.results
FL,02_RLeaf,rll4,Red,Ls21v1.046.genes.results
FL,02_RLeaf,rll4,Red,Ls21v1.047.genes.results
FL,02_RLeaf,rll4,Red,Ls21v1.048.genes.results
FL,03_ROak,rll4,Red,Ls21v1.049.genes.results
FL,03_ROak,rll4,Red,Ls21v1.050.genes.results
FL,03_ROak,rll4,Red,Ls21v1.051.genes.results
FL,04_RCos,rll4,Red,Ls21v1.052.genes.results
FL,04_RCos,rll4,Red,Ls21v1.053.genes.results
FL,04_RCos,rll4,Red,Ls21v1.054.genes.results
FL,05_FancR,RLL4,Red,Ls21v1.055.genes.results
FL,05_FancR,RLL4,Red,Ls21v1.056.genes.results
FL,05_FancR,RLL4,Red,Ls21v1.057.genes.results
FL,06_HandR,RLL4,Red,Ls21v1.058.genes.results
FL,06_HandR,RLL4,Red,Ls21v1.059.genes.results
FL,06_HandR,RLL4,Red,Ls21v1.060.genes.results
FL,07_RFire,RLL4,Red,Ls21v1.061.genes.results
FL,07_RFire,RLL4,Red,Ls21v1.062.genes.results
FL,07_RFire,RLL4,Red,Ls21v1.063.genes.results
FL,08_SunB,RLL4,Red,Ls21v1.064.genes.results
FL,08_SunB,RLL4,Red,Ls21v1.065.genes.results
FL,08_SunB,RLL4,Red,Ls21v1.066.genes.results
FL,09_WineD,rll4,Red,Ls21v1.067.genes.results
FL,09_WineD,rll4,Red,Ls21v1.068.genes.results
FL,09_WineD,rll4,Red,Ls21v1.069.genes.results
FL,10_GOak,RLL4,Green,Ls21v1.070.genes.results
FL,10_GOak,RLL4,Green,Ls21v1.071.genes.results
FL,10_GOak,RLL4,Green,Ls21v1.072.genes.results
FL,11_HandG,RLL4,Green,Ls21v1.073.genes.results
FL,11_HandG,RLL4,Green,Ls21v1.074.genes.results
FL,11_HandG,RLL4,Green,Ls21v1.075.genes.results
FL,12_GLeaf,RLL4,Green,Ls21v1.076.genes.results
FL,12_GLeaf,RLL4,Green,Ls21v1.077.genes.results
FL,12_GLeaf,RLL4,Green,Ls21v1.078.genes.results
FL,13_GButt,RLL4,Green,Ls21v1.079.genes.results
FL,13_GButt,RLL4,Green,Ls21v1.080.genes.results
FL,13_GButt,RLL4,Green,Ls21v1.081.genes.results
FL,14_FrIce,RLL4,Green,Ls21v1.082.genes.results
FL,14_FrIce,RLL4,Green,Ls21v1.083.genes.results
FL,14_FrIce,RLL4,Green,Ls21v1.084.genes.results
BlueLED,01_RButt,rll4,Red,Ls21v1.085.genes.results
BlueLED,01_RButt,rll4,Red,Ls21v1.086.genes.results
BlueLED,01_RButt,rll4,Red,Ls21v1.087.genes.results
BlueLED,02_RLeaf,rll4,Red,Ls21v1.088.genes.results
BlueLED,02_RLeaf,rll4,Red,Ls21v1.089.genes.results
BlueLED,03_ROak,rll4,Red,Ls21v1.090.genes.results
BlueLED,03_ROak,rll4,Red,Ls21v1.091.genes.results
BlueLED,03_ROak,rll4,Red,Ls21v1.092.genes.results
BlueLED,04_RCos,rll4,Red,Ls21v1.093.genes.results
BlueLED,04_RCos,rll4,Red,Ls21v1.094.genes.results
BlueLED,04_RCos,rll4,Red,Ls21v1.095.genes.results
BlueLED,05_FancR,RLL4,Red,Ls21v1.096.genes.results
BlueLED,05_FancR,RLL4,Red,Ls21v1.097.genes.results
BlueLED,05_FancR,RLL4,Red,Ls21v1.098.genes.results
BlueLED,06_HandR,RLL4,Red,Ls21v1.099.genes.results
BlueLED,06_HandR,RLL4,Red,Ls21v1.100.genes.results
BlueLED,06_HandR,RLL4,Red,Ls21v1.101.genes.results
BlueLED,07_RFire,RLL4,Red,Ls21v1.102.genes.results
BlueLED,07_RFire,RLL4,Red,Ls21v1.103.genes.results
BlueLED,07_RFire,RLL4,Red,Ls21v1.104.genes.results
BlueLED,08_SunB,RLL4,Red,Ls21v1.105.genes.results
BlueLED,08_SunB,RLL4,Red,Ls21v1.106.genes.results
BlueLED,08_SunB,RLL4,Red,Ls21v1.107.genes.results
BlueLED,09_WineD,rll4,Red,Ls21v1.108.genes.results
BlueLED,09_WineD,rll4,Red,Ls21v1.109.genes.results
BlueLED,09_WineD,rll4,Red,Ls21v1.110.genes.results
BlueLED,10_GOak,RLL4,Green,Ls21v1.111.genes.results
BlueLED,10_GOak,RLL4,Green,Ls21v1.112.genes.results
BlueLED,10_GOak,RLL4,Green,Ls21v1.113.genes.results
BlueLED,11_HandG,RLL4,Green,Ls21v1.114.genes.results
BlueLED,11_HandG,RLL4,Green,Ls21v1.115.genes.results
BlueLED,11_HandG,RLL4,Green,Ls21v1.116.genes.results
BlueLED,12_GLeaf,RLL4,Green,Ls21v1.117.genes.results
BlueLED,12_GLeaf,RLL4,Green,Ls21v1.118.genes.results
BlueLED,12_GLeaf,RLL4,Green,Ls21v1.119.genes.results
BlueLED,13_GButt,RLL4,Green,Ls21v1.120.genes.results
BlueLED,14_FrIce,RLL4,Green,Ls21v1.121.genes.results
BlueLED,14_FrIce,RLL4,Green,Ls21v1.122.genes.results
BlueLED,14_FrIce,RLL4,Green,Ls21v1.123.genes.results
RedLED,01_RButt,rll4,Red,Ls21v1.124.genes.results
RedLED,01_RButt,rll4,Red,Ls21v1.125.genes.results
RedLED,01_RButt,rll4,Red,Ls21v1.126.genes.results
RedLED,02_RLeaf,rll4,Red,Ls21v1.127.genes.results
RedLED,02_RLeaf,rll4,Red,Ls21v1.128.genes.results
RedLED,02_RLeaf,rll4,Red,Ls21v1.129.genes.results
RedLED,03_ROak,rll4,Red,Ls21v1.130.genes.results
RedLED,03_ROak,rll4,Red,Ls21v1.131.genes.results
RedLED,03_ROak,rll4,Red,Ls21v1.132.genes.results
RedLED,04_RCos,rll4,Red,Ls21v1.133.genes.results
RedLED,04_RCos,rll4,Red,Ls21v1.134.genes.results
RedLED,04_RCos,rll4,Red,Ls21v1.135.genes.results
RedLED,05_FancR,RLL4,Red,Ls21v1.136.genes.results
RedLED,05_FancR,RLL4,Red,Ls21v1.137.genes.results
RedLED,05_FancR,RLL4,Red,Ls21v1.138.genes.results
RedLED,06_HandR,RLL4,Red,Ls21v1.139.genes.results
RedLED,06_HandR,RLL4,Red,Ls21v1.140.genes.results
RedLED,06_HandR,RLL4,Red,Ls21v1.141.genes.results
RedLED,07_RFire,RLL4,Red,Ls21v1.142.genes.results
RedLED,07_RFire,RLL4,Red,Ls21v1.143.genes.results
RedLED,07_RFire,RLL4,Red,Ls21v1.144.genes.results
RedLED,08_SunB,RLL4,Red,Ls21v1.145.genes.results
RedLED,08_SunB,RLL4,Red,Ls21v1.146.genes.results
RedLED,08_SunB,RLL4,Red,Ls21v1.147.genes.results
RedLED,09_WineD,rll4,Red,Ls21v1.148.genes.results
RedLED,09_WineD,rll4,Red,Ls21v1.149.genes.results
RedLED,09_WineD,rll4,Red,Ls21v1.150.genes.results
RedLED,10_GOak,RLL4,Green,Ls21v1.151.genes.results
RedLED,10_GOak,RLL4,Green,Ls21v1.152.genes.results
RedLED,10_GOak,RLL4,Green,Ls21v1.153.genes.results
RedLED,11_HandG,RLL4,Green,Ls21v1.154.genes.results
RedLED,11_HandG,RLL4,Green,Ls21v1.155.genes.results
RedLED,11_HandG,RLL4,Green,Ls21v1.156.genes.results
RedLED,12_GLeaf,RLL4,Green,Ls21v1.157.genes.results
RedLED,12_GLeaf,RLL4,Green,Ls21v1.158.genes.results
RedLED,12_GLeaf,RLL4,Green,Ls21v1.159.genes.results
RedLED,13_GButt,RLL4,Green,Ls21v1.160.genes.results
RedLED,13_GButt,RLL4,Green,Ls21v1.161.genes.results
RedLED,13_GButt,RLL4,Green,Ls21v1.162.genes.results
RedLED,14_FrIce,RLL4,Green,Ls21v1.163.genes.results
RedLED,14_FrIce,RLL4,Green,Ls21v1.164.genes.results
RedLED,14_FrIce,RLL4,Green,Ls21v1.165.genes.results